lineages_l,number_genomes_per_lineage
JN.1.32,27
JN.1.34,3
JN.1.37,2
JN.1.39,16
JN.1.39.2,1
JN.1.39.3,1
JN.1.4,259
JN.1.4.2,1
JN.1.4.5,26
JN.1.4.6,5
JN.1.4.7,4
JN.1.40,1
JN.1.43,6
JN.1.43.1,3
JN.1.44,9
JN.1.45,9
JN.1.47.1,1
JN.1.48,6
JN.1.48.1,5
JN.1.49,4
JN.1.49.2,1
JN.1.5,2
JN.1.50,6
JN.1.50.1,1
JN.1.51,1
JN.1.51.1,1
JN.1.52,4
JN.1.53,3
JN.1.54,1
JN.1.55,6
JN.1.56,1
JN.1.57,1
JN.1.57.1,2
JN.1.58,4
JN.1.58.3,1
JN.1.6,4
JN.1.6.1,1
JN.1.63,2
JN.1.7,54
JN.1.7.5,1
JN.1.7.7,2
JN.1.8,10
JN.1.8.1,7
JN.1.8.3,4
JN.1.9.1,1
JN.1.9.2,1
JN.10,9
JN.11,2
JN.12,1
JN.14,1
JN.18,105
JN.2,16
JN.2.2,9
JN.2.3,4
JN.2.5,1
JN.3,5
JN.3.1,2
JN.3.2.1,15
JN.3.3,2
JN.4,5
JN.5,2
JN.6,5
JN.7,2
JN.8,1
JN.9,3
JQ.2.1,1
JR.1.1,2
JV.1,1
JY.1.1,1
JZ.1,2
KA.1,3
KB.1,1
KC.1,5
KK.1,1
KP.1.1,9
KP.1.1.1,14
KP.1.1.3,16
KP.1.1.5,5
KP.1.2,3
KP.2,41
KP.2.1,3
KP.2.10,1
KP.2.11,1
KP.2.15,1
KP.2.16,2
KP.2.2,11
KP.2.3,28
KP.2.3.2,3
KP.2.3.3,2
KP.2.4,1
KP.2.5,4
KP.2.6,1
KP.3,4
KP.3.1,36
KP.3.1.1,52
KP.3.1.4,5
KP.3.1.5,1
KP.3.2,4
KP.3.2.3,5
KP.3.2.4,4
KP.3.3,110
KP.4.1,7
KQ.1,4
KR.1,1
KS.1,29
KS.1.1,5
KW.1.1,2
KW.1.1.1,1
LA.1,9
LA.2,1
LB.1,8
LB.1.2,3
LB.1.3,10
LB.1.4,1
LB.1.7,1
LD.1,1
LE.1,1
LE.1.1,5
LF.1,3
LF.1.1,2
LF.2,1
LJ.1,1
LT.1,1
LV.1,6
P.1,10
P.1.1,1
P.1.16,7
P.1.17,3
P.1.17.1,25
P.1.7,3
P.1.8,1
Q.4,2
XAB,69
XAC,1
XAD,54
XAF,1
XAG,3
XAH,3
XAJ,1
XAK,96
XAL,61
XAM,4
XAN,16
XAP,1
XAS,17
XAU,5
XAV,8
XAY.1,13
XAY.1.1.1,160
XAY.1.1.2,49
XAY.1.1.3,41
XAY.1.2,7
XAY.2,68
XAY.2.2,4
XAZ,247
XB,3
XBB,92
XBB.1,1174
XBB.1.1,22
XBB.1.11,15
XBB.1.11.1,6
XBB.1.12,2
XBB.1.13,15
XBB.1.13.1,14
XBB.1.14,3
XBB.1.14.1,1
XBB.1.15,25
XBB.1.15.1,2
XBB.1.16,96
XBB.1.16.1,14
XBB.1.16.11,29
XBB.1.16.12,3
XBB.1.16.13,1
XBB.1.16.14,1
XBB.1.16.15,26
XBB.1.16.17,2
XBB.1.16.18,6
XBB.1.16.19,3
XBB.1.16.2,5
XBB.1.16.20,3
XBB.1.16.21,13
XBB.1.16.22,1
XBB.1.16.23,2
XBB.1.16.25,3
XBB.1.16.27,4
XBB.1.16.28,1
XBB.1.16.3,1
XBB.1.16.30,5
XBB.1.16.32,1
XBB.1.16.4,4
XBB.1.16.5,2
XBB.1.16.6,33
XBB.1.16.9,6
XBB.1.17,1
XBB.1.17.1,29
XBB.1.18,2
XBB.1.18.1,10
XBB.1.19,1
XBB.1.19.1,9
XBB.1.20,1
XBB.1.21,33
XBB.1.22,7
XBB.1.22.1,16
XBB.1.22.2,9
XBB.1.25,2
XBB.1.28,2
XBB.1.28.1,30
XBB.1.29,5
XBB.1.3,6
XBB.1.30,5
XBB.1.32,3
XBB.1.33,2
XBB.1.34.1,2
XBB.1.35,2
XBB.1.36,2
XBB.1.37,1
XBB.1.37.1,4
XBB.1.38,2
