,Day since infection,"Proba Neut Min
 vs. BN antigen","Proba Neut Max
 vs. BN antigen","Proba Neut Min
 vs. bbb antigen","Proba Neut Max
 vs. bbb antigen"
433,434,0.00017517719066539872,0.2609864891156971,3.4994961711776185e-05,0.05986037916342857
434,435,0.00017038743865593897,0.258804059731651,3.4038041059059054e-05,0.05928246022776362
435,436,0.00016572863691266537,0.25663604481163493,3.3107286458666785e-05,0.05870992219745086
436,437,0.00016119720598251064,0.25448241894081347,3.220198245201811e-05,0.05814271885801403
437,438,0.00015678966421794893,0.25234315532104434,3.1321433141995314e-05,0.057580804314974254
438,439,0.00015250262510713153,0.250218225800089,3.0464961658038803e-05,0.05702413299322473
439,440,0.00014833279467407756,0.2481076009005876,2.9631909636229636e-05,0.056472659636374045
440,441,0.00014427696895502606,0.2460112498488044,2.8821636712583754e-05,0.055926339306046735
441,442,0.0001403320315374046,0.24392914060312965,2.8033520032333392e-05,0.05538512738115153
442,443,0.00013649495117074029,0.24186123988233554,2.7266953770532787e-05,0.05484897955711321
443,444,0.00013276277944107573,0.23980751319358418,2.652134866631961e-05,0.05431785184507021
444,445,0.0001291326485068911,0.2377679248601806,2.5796131569166825e-05,0.05379170057104099
445,446,0.0001256017689013067,0.23574243804906803,2.509074500167685e-05,0.05327048237505705
446,447,0.00012216742738879738,0.23373101479806024,2.440464672703868e-05,0.052754154210263415
447,448,0.00011882698488574484,0.23173361604280807,2.3737309335025714e-05,0.05224267334199417
448,449,0.00011557787443250422,0.2297502016434978,2.308821983609821e-05,0.051735997346813445
449,450,0.00011241759922464567,0.22778073041127767,2.2456879266496976e-05,0.05123408411153041
450,451,0.0001093437306980416,0.22582516013440657,2.1842802305438447e-05,0.050736891832187436
451,452,0.00010635390666124955,0.22388344760412704,2.1245516902523853e-05,0.05024437901302148
452,453,0.00010344582948584868,0.22195554864025813,2.0664563913030953e-05,0.049756504465398366
453,454,0.00010061726434018592,0.22004141811650368,2.0099496747416623e-05,0.04927322730672534
454,455,9.786603747619083e-05,0.21814100998547636,1.9549881026814653e-05,0.0487945069593364
455,456,9.519003455848996e-05,0.21625427730343516,1.9015294249746795e-05,0.0483203031493562
456,457,9.258719904348123e-05,0.21438117225473474,1.849532546560617e-05,0.04785057590554198
457,458,9.005553059737714e-05,0.21252164617598357,1.7989574962018473e-05,0.04738528555810306
458,459,8.759308356331985e-05,0.21067564957991036,1.74976539554228e-05,0.04692439273749904
459,460,8.519796546702096e-05,0.2088431321789399,1.701918429175553e-05,0.04646785837321932
460,461,8.286833556103712e-05,0.20702404290847154,1.655379815768132e-05,0.04601564369254163
461,462,8.060240341567493e-05,0.20521832994986666,1.6101137797042142e-05,0.04556771021927519
462,463,7.839842754031601e-05,0.2034259407531379,1.5660855235966054e-05,0.04512401977247937
463,464,7.625471404859585e-05,0.20164682205934448,1.5232612014415281e-05,0.044684534465174286
464,465,7.416961535688937e-05,0.1998809199226902,1.4816078927060161e-05,0.04424921670302573
465,466,7.21415289178795e-05,0.1981281797323231,1.4410935770592381e-05,0.04381802918301947
466,467,7.016889599276155e-05,0.19638854623384294,1.4016871096589334e-05,0.04339093489212131
467,468,6.825020045042596e-05,0.19466196355050736,1.3633581974148434e-05,0.042967897105916086
468,469,6.63839676063871e-05,0.19294837520414287,1.3260773752854504e-05,0.042548879387239835
469,470,6.456876308780224e-05,0.1912477241357602,1.2898159841734369e-05,0.042133845584794605
470,471,6.280319173401772e-05,0.1895599527258729,1.254546148432567e-05,0.04172275983175111
471,472,6.10858965227612e-05,0.18788500281452203,1.2202407546957339e-05,0.0413155865443392
472,473,5.941555752908556e-05,0.18622281572100197,1.186873430991664e-05,0.040912290420426434
473,474,5.7790890910958126e-05,0.1845733322632963,1.1544185264611428e-05,0.040512836438086786
474,475,5.6210647924270774e-05,0.18293649277722057,1.1228510915284318e-05,0.04011718985415602
475,476,5.467361396216397e-05,0.1813122371352679,1.0921468589830674e-05,0.03972531620278119
476,477,5.317860762277249e-05,0.17970050476516763,1.0622822250505592e-05,0.03933718129395414
477,478,5.172447980139605e-05,0.17810123466815297,1.033234231428981e-05,0.038952751212044
478,479,5.0310112808649166e-05,0.17651436543693977,1.0049805475809137e-05,0.038571992314314296
479,480,4.893441951014932e-05,0.17493983527341528,9.774994535582948e-06,0.03819487122943621
480,481,4.759634249296152e-05,0.17337758200604392,9.507698232380513e-06,0.03782135485599036
481,482,4.6294853252804025e-05,0.17182754310698722,9.247711083792964e-06,0.037451410360966886
482,483,4.5028951402348305e-05,0.17028965570893928,8.994833223696652e-06,0.03708500517825353
483,484,4.379766390605333e-05,0.16876385662168236,8.74887025281712e-06,0.03672210700711942
484,485,4.260004432932174e-05,0.1672500823483617,8.509633087072643e-06,0.03636268381069496
485,486,4.14351721129691e-05,0.16574826910148244,8.276937811246832e-06,0.0360067038144436
486,487,4.030215186556774e-05,0.16425835281863188,8.050605542098133e-06,0.03565413550462859
487,488,3.920011267566359e-05,0.16278026917792154,7.83046228469697e-06,0.03530494762677805
488,489,3.812820744220069e-05,0.16131395361316736,7.616338803528855e-06,0.034959109184142245
489,490,3.708561222370843e-05,0.1598593413287891,7.4080704908219275e-06,0.03461658943615076
490,491,3.607152560602955e-05,0.15841636731444686,7.205497239204384e-06,0.03427735789686159
491,492,3.508516808659046e-05,0.15698496635940962,7.008463318802782e-06,0.03394138433341165
492,493,3.4125781472882366e-05,0.15556507306666312,6.816817259336361e-06,0.033608638764462295
493,494,3.3192628303369e-05,0.1541566218667495,6.630411731767261e-06,0.03327909145864283
494,495,3.22849912791634e-05,0.15275954703135408,6.449103435501868e-06,0.0329527129329914
495,496,3.140217271235812e-05,0.15137378268663026,6.272752988256691e-06,0.03262947395139515
496,497,3.054349399100875e-05,0.1499992628262733,6.101224819254902e-06,0.03230934552302889
497,498,2.970829505632988e-05,0.1486359213243369,5.934387065975599e-06,0.031992298900791916
498,499,2.889593389820977e-05,0.14728369194780389,5.772111468793639e-06,0.031678305579744714
499,500,2.810578605783043e-05,0.14594250836890765,5.614273278387039e-06,0.03136733729554486
500,501,2.733724415060479e-05,0.14461230417720783,5.460751154484633e-06,0.031059366022883506
501,502,2.6589717399327917e-05,0.14329301289142327,5.311427075160857e-06,0.030754363973919396
502,503,2.5862631179207618e-05,0.1419845679710252,5.1661862470187e-06,0.03045230359671891
503,504,2.5155426576772832e-05,0.14068690282759377,5.024917013485286e-06,0.03015315757368775
504,505,2.446755995955119e-05,0.1393999508359366,4.887510773099457e-06,0.029856898820013855
505,506,2.379850256084559e-05,0.13812364534497712,4.753861893358469e-06,0.02956350048210299
506,507,2.314774006861864e-05,0.136857919688412,4.623867629560685e-06,0.02927293593602076
507,508,2.2514772236137404e-05,0.13560270719514234,4.497428047756102e-06,0.028985178785934207
508,509,2.1899112492285155e-05,0.13435794119947697,4.374445945254379e-06,0.028700202862554813
509,510,2.1300287571190957e-05,0.13312355505111761,4.254826778571363e-06,0.028417982221586646
510,511,2.0717837146744245e-05,0.13189948212492064,4.138478589044148e-06,0.028138491142171818
511,512,2.0151313478766752e-05,0.13068565583044633,4.025311931665776e-06,0.027861704125343167
512,513,1.9600281069953596e-05,0.12948200962128964,3.915239809249016e-06,0.0275875958924785
513,514,1.906431633114103e-05,0.12828847700420176,3.8081776008169754e-06,0.027316141383753823
514,515,1.85430072530135e-05,0.12710499154800148,3.7040430024282145e-06,0.027047315756605794
515,516,1.8035953094686086e-05,0.12593148689228306,3.602755957898829e-06,0.02678109438419507
516,517,1.7542764070066497e-05,0.12476789675591626,3.5042386018480087e-06,0.026517452853870194
517,518,1.7063061052202677e-05,0.12361415494534767,3.4084151981916833e-06,0.026256366965639044
518,519,1.659647528062802e-05,0.12247019536270687,3.315212079413321e-06,0.02599781273064261
519,520,1.6142648076811206e-05,0.12133595201370984,3.2245575963818496e-06,0.0257417663696341
520,521,1.5701230570486224e-05,0.12021135901537672,3.1363820558460986e-06,0.02548820431146004
521,522,1.527188343064534e-05,0.11909635060355372,3.0506176715849875e-06,0.02523710319154593
522,523,1.4854276604081562e-05,0.11799086114025148,2.9671985106727305e-06,0.02498843985038901
523,524,1.4448089062146785e-05,0.11689482512079585,2.8860604438518678e-06,0.024742191332053243
524,525,1.4053008554837376e-05,0.11580817718079695,2.8071410945740283e-06,0.024498334882669393
525,526,1.3668731369653742e-05,0.11473085210293965,2.730379791926474e-06,0.024256847948941007
526,527,1.3294962098564511e-05,0.11366278482359504,2.655717525112955e-06,0.024017708176654495
527,528,1.2931413411076953e-05,0.11260391043925799,2.5830968959361655e-06,0.023780893409195203
528,529,1.2577805832969524e-05,0.11155416421281439,2.5124620753880222e-06,0.02354638168606793
529,530,1.2233867532462916e-05,0.11051348157963592,2.4437587631265245e-06,0.02331415124142311
530,531,1.1899334109943815e-05,0.10948179815351122,2.3769341408463873e-06,0.023084180502589535
531,532,1.1573948396015332e-05,0.10845904973241005,2.3119368368629267e-06,0.022856448088612202
532,533,1.1257460253211171e-05,0.10744517230408901,2.2487168827023396e-06,0.022630932808794357
533,534,1.0949626382039668e-05,0.10644010205153265,2.187225677574567e-06,0.02240761366124744
534,535,1.0650210138130056e-05,0.10544377535824567,2.12741594818322e-06,0.02218646983144723
535,536,1.0358981347047269e-05,0.10445612881338218,2.0692417151968456e-06,0.02196748069079346
536,537,1.0075716126878298e-05,0.10347709921673132,2.0126582560564543e-06,0.021750625795180167
537,538,9.800196718701137e-06,0.10250662358354701,1.9576220712247405e-06,0.021535884883564727
538,539,9.532211318608041e-06,0.10154463914923606,1.9040908504353027e-06,0.021323237876553103
539,540,9.271553912726382e-06,0.10059108337389733,1.8520234406071978e-06,0.021112664874983422
540,541,9.01802412045516e-06,0.09964589394672285,1.8013798138705184e-06,0.020904146158519765
541,542,8.771427042142399e-06,0.09870900879025679,1.7521210368132145e-06,0.020697662184252064
542,543,8.531573105541312e-06,0.09778036606451757,1.704209240727117e-06,0.020493193585300884
543,544,8.298277922591524e-06,0.09685990417098655,1.6576075935192947e-06,0.020290721169433756
544,545,8.071362148198702e-06,0.0959475617564608,1.612280267959676e-06,0.020090225917680726
545,546,7.850651339458281e-06,0.09504327771677978,1.5681924181443208e-06,0.01989168898296423
546,547,7.635975824760166e-06,0.09414699120042025,1.525310151073711e-06,0.019695091688731736
