,Day since infection,"Proba Neut Min
 vs. BA.2 antigen","Proba Neut Max
 vs. BA.2 antigen","Proba Neut Min
 vs. B303000 antigen","Proba Neut Max
 vs. B303000 antigen"
445,446,0.0001256017689013067,0.23574243804906803,6.106321212728805e-05,0.12379986610065064
446,447,0.00012216742738879738,0.23373101479806024,5.9393493717307955e-05,0.12265478703081945
447,448,0.00011882698488574484,0.23173361604280807,5.7769430698351165e-05,0.12151942289054352
448,449,0.00011557787443250422,0.2297502016434978,5.6189774790937896e-05,0.12039370800051163
449,450,0.00011241759922464567,0.22778073041127767,5.465331184084654e-05,0.11927757679590201
450,451,0.0001093437306980416,0.22582516013440657,5.3158860886970416e-05,0.1181709638337719
451,452,0.00010635390666124955,0.22388344760412704,5.170527325193408e-05,0.11707380380026244
452,453,0.00010344582948584868,0.22195554864025813,5.0291431662796704e-05,0.11598603151762177
453,454,0.00010061726434018592,0.22004141811650368,4.8916249389518995e-05,0.11490758195104622
454,455,9.786603747619083e-05,0.21814100998547636,4.757866941340616e-05,0.11383839021534647
455,456,9.519003455848996e-05,0.21625427730343516,4.627766361275931e-05,0.11277839158143887
456,457,9.258719904348123e-05,0.21438117225473474,4.5012231973728944e-05,0.11172752148266418
457,458,9.005553059737714e-05,0.21252164617598357,4.3781401822262644e-05,0.11068571552093676
458,459,8.759308356331985e-05,0.21067564957991036,4.258422707625886e-05,0.10965290947272677
459,460,8.519796546702096e-05,0.2088431321789399,4.1419787518481854e-05,0.10862903929488055
460,461,8.286833556103712e-05,0.20702404290847154,4.0287188091459036e-05,0.10761404113027284
461,462,8.060240341567493e-05,0.20521832994986666,3.91855582075884e-05,0.10660785131330797
462,463,7.839842754031601e-05,0.2034259407531379,3.811405108133936e-05,0.10561040637525787
463,464,7.625471404859585e-05,0.20164682205934448,3.70718430773298e-05,0.10462164304944754
464,465,7.416961535688937e-05,0.1998809199226902,3.6058133080385524e-05,0.10364149827629077
465,466,7.21415289178795e-05,0.1981281797323231,3.507214187681296e-05,0.10266990920817098
466,467,7.016889599276155e-05,0.19638854623384294,3.411311155743224e-05,0.10170681321418229
467,468,6.825020045042596e-05,0.19466196355050736,3.318030493437707e-05,0.10075214788471976
468,469,6.63839676063871e-05,0.19294837520414287,3.227300497554708e-05,0.0998058510359292
469,470,6.456876308780224e-05,0.1912477241357602,3.1390514252271906e-05,0.09886786071401932
470,471,6.280319173401772e-05,0.1895599527258729,3.0532154405626954e-05,0.09793811519943274
471,472,6.10858965227612e-05,0.18788500281452203,2.969726562218611e-05,0.09701655301088452
472,473,5.941555752908556e-05,0.18622281572100197,2.888520613009149e-05,0.09610311290926576
473,474,5.7790890910958126e-05,0.1845733322632963,2.809535170300581e-05,0.09519773390141872
474,475,5.6210647924270774e-05,0.18293649277722057,2.7327095182494432e-05,0.09430035524378022
475,476,5.467361396216397e-05,0.1813122371352679,2.65798460112876e-05,0.09341091644590371
476,477,5.317860762277249e-05,0.17970050476516763,2.5853029777422876e-05,0.09252935727385192
477,478,5.172447980139605e-05,0.17810123466815297,2.514608777537397e-05,0.09165561775347264
478,479,5.0310112808649166e-05,0.17651436543693977,2.4458476575728305e-05,0.09078963817355146
479,480,4.893441951014932e-05,0.17493983527341528,2.3789667606632925e-05,0.08993135908884953
480,481,4.759634249296152e-05,0.17337758200604392,2.3139146749340256e-05,0.08908072132302403
481,482,4.6294853252804025e-05,0.17182754310698722,2.2506413941414394e-05,0.088237665971438
482,483,4.5028951402348305e-05,0.17028965570893928,2.1890982793482117e-05,0.08740213440385691
483,484,4.379766390605333e-05,0.16876385662168236,2.1292380215420792e-05,0.0865740682670364
484,485,4.260004432932174e-05,0.1672500823483617,2.071014605153909e-05,0.08575340948720489
485,486,4.14351721129691e-05,0.16574826910148244,2.0143832728969358e-05,0.08494010027244026
486,487,4.030215186556774e-05,0.16425835281863188,1.9593004911833134e-05,0.08413408311494353
